0.0		0.0
5.2452E-06	0.194304407
1.04904E-05	0.388541222
1.58544E-05	0.582542121
2.09801E-05	0.776469529
2.62251E-05	0.970424712
3.14703E-05	1.164342284
3.67149E-05	1.358288765
4.20791E-05	1.552237391
4.72046E-05	1.746157646
5.24496E-05	1.934452415
5.74554E-05	2.048885107
6.35347E-05	2.136585712
6.91367E-05	2.220419884
7.43806E-05	2.300653934
7.97447E-05	2.378180981
8.49894E-05	2.455719709
9.02339E-05	2.533242941
9.55978E-05	2.610802412
0.000100604	2.687969208
0.000110141	2.842
0.000210962	1.86981
0.00030308	0.862723
0.000690708	0.226254
0.001088259	0.056576
